freq / Hz,Z (Yeast - weird),Z (Yeast1),Z (Yeast2),Z (Yeast3),Z (Yeast4),Z (1:4 Yeast1),Z (1:4 Yeast2),Z (1:4 Yeast3),Z (Base1),Z (Base2),Z (Base3),Z (unknown)
50000,6.64E+05,7.35E+05,6.57E+05,6.58E+05,7.29E+05,6.61E+05,6.57E+05,6.83E+05,6.94E+05,6.95E+05,7.24E+05,6.77E+05
39369.82,7.74E+05,8.55E+05,7.71E+05,7.72E+05,8.44E+05,7.77E+05,7.73E+05,7.98E+05,8.20E+05,8.20E+05,8.26E+05,7.75E+05
30999.65,9.62E+05,1.07E+06,9.60E+05,9.51E+05,1.04E+06,9.66E+05,9.66E+05,9.98E+05,1.02E+06,1.02E+06,1.01E+06,9.58E+05
24409.02,1.26E+06,1.44E+06,1.26E+06,1.28E+06,1.37E+06,1.29E+06,1.30E+06,1.35E+06,1.35E+06,1.37E+06,1.37E+06,1.28E+06
19219.57,1.48E+06,1.67E+06,1.49E+06,1.48E+06,1.57E+06,1.52E+06,1.51E+06,1.55E+06,1.58E+06,1.58E+06,1.67E+06,1.43E+06
15133.42,1.83E+06,2.09E+06,1.87E+06,1.86E+06,1.93E+06,1.89E+06,1.88E+06,1.94E+06,1.97E+06,1.97E+06,2.07E+06,1.70E+06
11916,2.65E+06,2.80E+06,2.50E+06,2.47E+06,2.51E+06,2.43E+06,2.49E+06,2.64E+06,2.69E+06,2.54E+06,2.80E+06,2.09E+06
9382.62,2.71E+06,3.26E+06,2.86E+06,2.93E+06,2.91E+06,2.83E+06,2.83E+06,3.07E+06,3.06E+06,3.00E+06,3.30E+06,2.26E+06
7387.84,3.50E+06,4.15E+06,3.65E+06,3.63E+06,3.57E+06,3.68E+06,3.69E+06,3.69E+06,3.76E+06,3.75E+06,3.73E+06,2.69E+06
5817.16,6.08E+06,5.08E+06,4.54E+06,4.56E+06,4.32E+06,4.47E+06,4.50E+06,4.59E+06,4.59E+06,4.54E+06,3.78E+06,2.95E+06
4580.41,7.64E+06,6.32E+06,5.66E+06,5.71E+06,5.23E+06,5.53E+06,5.51E+06,5.52E+06,5.53E+06,5.46E+06,4.37E+06,3.22E+06
3606.6,5.18E+06,7.79E+06,6.91E+06,7.18E+06,6.28E+06,6.69E+06,6.77E+06,6.56E+06,6.60E+06,6.47E+06,4.58E+06,3.39E+06
2839.82,6.61E+06,9.26E+06,8.68E+06,9.20E+06,7.36E+06,8.33E+06,8.04E+06,7.56E+06,7.74E+06,7.51E+06,4.28E+06,1.22E+07
2236.07,7.08E+06,1.10E+07,1.04E+07,1.12E+07,8.53E+06,9.59E+06,9.55E+06,9.21E+06,8.79E+06,8.69E+06,4.94E+06,1.47E+07
1760.67,7.68E+06,1.33E+07,1.34E+07,1.40E+07,9.90E+06,1.18E+07,1.17E+07,1.08E+07,1.00E+07,9.92E+06,5.27E+06,1.90E+07
1386.35,7.84E+06,1.46E+07,1.54E+07,1.72E+07,1.09E+07,1.27E+07,1.32E+07,1.17E+07,1.07E+07,1.06E+07,5.84E+06,2.26E+07
1091.6,8.39E+06,1.65E+07,1.77E+07,2.00E+07,1.18E+07,1.40E+07,1.59E+07,1.29E+07,1.13E+07,1.19E+07,6.17E+06,2.55E+07
859.524,8.51E+06,1.77E+07,2.11E+07,2.55E+07,1.27E+07,1.68E+07,1.67E+07,1.48E+07,1.22E+07,1.21E+07,6.54E+06,3.68E+07
676.786,4.07E+07,1.83E+07,2.41E+07,3.12E+07,1.33E+07,1.81E+07,1.84E+07,1.57E+07,1.27E+07,1.25E+07,6.83E+06,4.55E+07
532.899,9.14E+06,1.89E+07,2.71E+07,3.80E+07,1.39E+07,1.97E+07,1.99E+07,1.67E+07,1.31E+07,1.29E+07,7.35E+06,6.17E+07
419.603,9.26E+06,2.00E+07,2.95E+07,4.71E+07,1.42E+07,2.10E+07,2.09E+07,1.68E+07,1.34E+07,1.32E+07,7.68E+06,7.83E+07
330.394,9.42E+06,2.01E+07,3.15E+07,5.37E+07,1.45E+07,2.16E+07,2.19E+07,1.73E+07,1.35E+07,1.32E+07,8.41E+06,4.14E+06
260.151,9.51E+06,2.11E+07,3.31E+07,6.03E+07,1.47E+07,2.24E+07,2.34E+07,1.76E+07,1.37E+07,1.35E+07,8.72E+06,4.15E+06
204.842,9.91E+06,2.07E+07,3.63E+07,6.39E+07,1.51E+07,2.38E+07,2.59E+07,1.95E+07,1.37E+07,1.39E+07,8.95E+06,4.19E+06
161.291,9.63E+06,2.06E+07,3.56E+07,7.19E+07,1.50E+07,2.36E+07,2.42E+07,1.84E+07,1.39E+07,1.38E+07,8.56E+06,4.19E+06
127,9.83E+06,1.94E+07,3.61E+07,8.11E+07,1.51E+07,2.39E+07,2.48E+07,1.86E+07,1.40E+07,1.40E+07,8.18E+06,4.75E+06
100,9.27E+06,1.98E+07,3.91E+07,7.11E+07,1.54E+07,2.51E+07,2.37E+07,1.64E+07,1.38E+07,1.36E+07,8.65E+06,4.26E+06
