t_100,V_in_100,I_out_100,t_200,V_in_200,I_out_200,t_400,V_in_400,I_out_400,t_800,V_in_800,I_out_800,t_1600,V_in_1600,I_out_1600,t_3200,V_in_3200,I_out_3200,t_6400,V_in_6400,I_out_6400,t_12800,V_in_12800,I_out_12800,t_25600,V_in_25600,I_out_25600,t_51200,V_in_51200,I_out_51200,t_102400,V_in_102400,I_out_102400,t_204800,V_in_204800,I_out_204800,t_409600,V_in_409600,I_out_409600,t_819200,V_in_819200,I_out_819200,t_1638400,V_in_1638400,I_out_1638400,t_3276800,V_in_3276800,I_out_3276800,t_6553600,V_in_6553600,I_out_6553600
0.000000000000000000e+00,0.000000000000000000e+00,-1.034112767002026757e-06,0.000000000000000000e+00,0.000000000000000000e+00,-2.052705534395023782e-06,0.000000000000000000e+00,0.000000000000000000e+00,-3.985773810730557968e-06,0.000000000000000000e+00,0.000000000000000000e+00,-7.139346573543285077e-06,0.000000000000000000e+00,0.000000000000000000e+00,-1.007254325143700886e-05,0.000000000000000000e+00,0.000000000000000000e+00,-9.248072578551331914e-06,0.000000000000000000e+00,0.000000000000000000e+00,-5.846352953841718195e-06,0.000000000000000000e+00,0.000000000000000000e+00,-3.130023923782546802e-06,0.000000000000000000e+00,0.000000000000000000e+00,-1.593196074531124173e-06,0.000000000000000000e+00,0.000000000000000000e+00,-8.002007169398862163e-07,0.000000000000000000e+00,0.000000000000000000e+00,-4.005532421567300312e-07,0.000000000000000000e+00,0.000000000000000000e+00,-2.003333116603936457e-07,0.000000000000000000e+00,0.000000000000000000e+00,-1.001737446604581567e-07,0.000000000000000000e+00,0.000000000000000000e+00,-5.008775851240350945e-08,0.000000000000000000e+00,0.000000000000000000e+00,-2.504399003142458080e-08,0.000000000000000000e+00,0.000000000000000000e+00,-1.252200886269123848e-08,0.000000000000000000e+00,0.000000000000000000e+00,-6.261006162219287460e-09
1.000000000000000048e-04,1.036043572233670551e-01,-1.035336044005336044e-06,5.000000000000000240e-05,1.036043572233670551e-01,-2.061612469918598872e-06,2.500000000000000120e-05,1.036043572233670551e-01,-4.028228326151915652e-06,1.250000000000000060e-05,1.036043572233670551e-01,-7.305524106865416704e-06,6.250000000000000300e-06,1.036043572233670551e-01,-1.056132208068617848e-05,3.125000000000000150e-06,1.036043572233670551e-01,-1.016386289795463216e-05,1.562500000000000075e-06,1.036043572233670551e-01,-7.015759512851869831e-06,7.812500000000000374e-07,1.036043572233670551e-01,-4.388355470039632487e-06,3.906250000000000187e-07,1.036043572233670551e-01,-2.877332571142779321e-06,1.953125000000000094e-07,1.036043572233670551e-01,-2.091723839047428758e-06,9.765625000000000468e-08,1.036043572233670551e-01,-1.694328672185723679e-06,4.882812500000000234e-08,1.036043572233670551e-01,-1.494870271610944452e-06,2.441406250000000117e-08,1.036043572233670551e-01,-1.394999989459867790e-06,1.220703125000000058e-08,1.036043572233670551e-01,-1.345035749296870877e-06,6.103515625000000292e-09,1.036043572233670551e-01,-1.320047127282082326e-06,3.051757812500000146e-09,1.036043572233670551e-01,-1.307551287468178604e-06,1.525878906250000073e-09,1.036043572233670551e-01,-1.301302997448182819e-06
2.000000000000000096e-04,2.067998353811020262e-01,-1.032473322643002258e-06,1.000000000000000048e-04,2.067998353811020262e-01,-2.062383162884551482e-06,5.000000000000000240e-05,2.067998353811020262e-01,-4.054785264692419397e-06,2.500000000000000120e-05,2.067998353811020262e-01,-7.442870074114238486e-06,1.250000000000000060e-05,2.067998353811020262e-01,-1.100842019669197628e-05,6.250000000000000300e-06,2.067998353811020262e-01,-1.103954109392697573e-05,3.125000000000000150e-06,2.067998353811020262e-01,-8.157478074260434800e-06,1.562500000000000075e-06,2.067998353811020262e-01,-5.629368182105381737e-06,7.812500000000000374e-07,2.067998353811020262e-01,-4.150113550624345977e-06,3.906250000000000187e-07,2.067998353811020262e-01,-3.374991882779973209e-06,1.953125000000000094e-07,2.067998353811020262e-01,-2.981417361010740094e-06,9.765625000000000468e-08,2.067998353811020262e-01,-2.783507661540711800e-06,4.882812500000000234e-08,2.067998353811020262e-01,-2.684320806615751610e-06,2.441406250000000117e-08,2.067998353811020262e-01,-2.634675498467246038e-06,1.220703125000000058e-08,2.067998353811020262e-01,-2.609840641593524799e-06,6.103515625000000292e-09,2.067998353811020262e-01,-2.597420258505389736e-06,3.051757812500000146e-09,2.067998353811020262e-01,-2.591209340312006983e-06
3.000000000000000279e-04,3.091791690664456027e-01,-1.025535900768389710e-06,1.500000000000000140e-04,3.091791690664456027e-01,-2.055014571719841462e-06,7.500000000000000698e-05,3.091791690664456027e-01,-4.065339818248361158e-06,3.750000000000000349e-05,3.091791690664456027e-01,-7.550842433504426609e-06,1.875000000000000175e-05,3.091791690664456027e-01,-1.141207310745022378e-05,9.375000000000000873e-06,3.091791690664456027e-01,-1.187165126468816473e-05,4.687500000000000436e-06,3.091791690664456027e-01,-9.267002796507118562e-06,2.343750000000000218e-06,3.091791690664456027e-01,-6.848164349770040285e-06,1.171875000000000109e-06,3.091791690664456027e-01,-5.406515927928120785e-06,5.859375000000000545e-07,3.091791690664456027e-01,-4.644940375438301240e-06,2.929687500000000273e-07,3.091791690664456027e-01,-4.256739757591867188e-06,1.464843750000000136e-07,3.091791690664456027e-01,-4.061159818394056567e-06,7.324218750000000682e-08,3.091791690664456027e-01,-3.963047835897439020e-06,3.662109375000000341e-08,3.091791690664456027e-01,-3.913917387113902626e-06,1.831054687500000170e-08,3.091791690664456027e-01,-3.889334307215362587e-06,9.155273437500000852e-09,3.091791690664456027e-01,-3.877038398430712077e-06,4.577636718750000426e-09,3.091791690664456027e-01,-3.870889363720553273e-06
4.000000000000000192e-04,4.103383138220104143e-01,-1.014551157216230945e-06,2.000000000000000096e-04,4.103383138220104143e-01,-2.039535776887405808e-06,1.000000000000000048e-04,4.103383138220104143e-01,-4.059850332818773083e-06,5.000000000000000240e-05,4.103383138220104143e-01,-7.629015067461343116e-06,2.500000000000000120e-05,4.103383138220104143e-01,-1.177068777933363913e-05,1.250000000000000060e-05,4.103383138220104143e-01,-1.265690945154919369e-05,6.250000000000000300e-06,4.103383138220104143e-01,-1.033995489240685910e-05,3.125000000000000150e-06,4.103383138220104143e-01,-8.039933941374856203e-06,1.562500000000000075e-06,4.103383138220104143e-01,-6.641581256866547582e-06,7.812500000000000374e-07,4.103383138220104143e-01,-5.896557410506185926e-06,3.906250000000000187e-07,4.103383138220104143e-01,-5.515262747069199224e-06,1.953125000000000094e-07,4.103383138220104143e-01,-5.322784432811644286e-06,9.765625000000000468e-08,4.103383138220104143e-01,-5.226134525915183116e-06,4.882812500000000234e-08,4.103383138220104143e-01,-5.177712831932396986e-06,2.441406250000000117e-08,4.103383138220104143e-01,-5.153478547194456825e-06,1.220703125000000058e-08,4.103383138220104143e-01,-5.141355639047797366e-06,6.103515625000000292e-09,4.103383138220104143e-01,-5.135292755251636405e-06
5.000000000000000104e-04,5.098780407186631614e-01,-9.995624437508739088e-07,2.500000000000000052e-04,5.098780407186631614e-01,-2.016007866118860533e-06,1.250000000000000026e-04,5.098780407186631614e-01,-4.038338472894737583e-06,6.250000000000000130e-05,5.098780407186631614e-01,-7.677079464312440584e-06,3.125000000000000065e-05,5.098780407186631614e-01,-1.208284892406775308e-05,1.562500000000000033e-05,5.098780407186631614e-01,-1.339221659919685728e-05,7.812500000000000163e-06,5.098780407186631614e-01,-1.137209991022231971e-05,3.906250000000000081e-06,5.098780407186631614e-01,-9.199973586809492141e-06,1.953125000000000041e-06,5.098780407186631614e-01,-7.850435298833978662e-06,9.765625000000000203e-07,5.098780407186631614e-01,-7.124903427355637799e-06,4.882812500000000102e-07,5.098780407186631614e-01,-6.752019514167722010e-06,2.441406250000000051e-07,5.098780407186631614e-01,-6.563402448821821126e-06,1.220703125000000025e-07,5.098780407186631614e-01,-6.468596050552892351e-06,6.103515625000000127e-08,5.098780407186631614e-01,-6.421074209675240437e-06,3.051757812500000064e-08,5.098780407186631614e-01,-6.397284361748168166e-06,1.525878906250000032e-08,5.098780407186631614e-01,-6.385382297819525911e-06,7.629394531250000159e-09,5.098780407186631614e-01,-6.379429492369837567e-06
6.000000000000000559e-04,6.074055119297185890e-01,-9.806289139766750866e-07,3.000000000000000279e-04,6.074055119297185890e-01,-1.984523693329129145e-06,1.500000000000000140e-04,6.074055119297185890e-01,-4.000889135959541971e-06,7.500000000000000698e-05,6.074055119297185890e-01,-7.694845935841882858e-06,3.750000000000000349e-05,6.074055119297185890e-01,-1.234732458422716043e-05,1.875000000000000175e-05,6.074055119297185890e-01,-1.407467078624927059e-05,9.375000000000000873e-06,6.074055119297185890e-01,-1.235936444511038647e-05,4.687500000000000436e-06,6.074055119297185890e-01,-1.032370513956512349e-05,2.343750000000000218e-06,6.074055119297185890e-01,-9.028307259199642906e-06,1.171875000000000109e-06,6.074055119297185890e-01,-8.325130705436065292e-06,5.859375000000000545e-07,6.074055119297185890e-01,-7.962129144948118937e-06,2.929687500000000273e-07,6.074055119297185890e-01,-7.778117713899851697e-06,1.464843750000000136e-07,6.074055119297185890e-01,-7.685528981799500352e-06,7.324218750000000682e-08,6.074055119297185890e-01,-7.639094541022260711e-06,3.662109375000000341e-08,6.074055119297185890e-01,-7.615843017567279644e-06,1.831054687500000170e-08,6.074055119297185890e-01,-7.604208769865443120e-06,9.155273437500000852e-09,6.074055119297185890e-01,-7.598389535765759932e-06
6.999999999999999929e-04,7.025358310823698327e-01,-9.578252898857458520e-07,3.499999999999999964e-04,7.025358310823698327e-01,-1.945207512164461360e-06,1.749999999999999982e-04,7.025358310823698327e-01,-3.947650117437093263e-06,8.749999999999999911e-05,7.025358310823698327e-01,-7.682244365903270647e-06,4.374999999999999956e-05,7.025358310823698327e-01,-1.256307099520865214e-05,2.187499999999999978e-05,7.025358310823698327e-01,-1.470157867781379583e-05,1.093749999999999989e-05,7.025358310823698327e-01,-1.329785221499011530e-05,5.468749999999999944e-06,7.025358310823698327e-01,-1.140669374458713079e-05,2.734374999999999972e-06,7.025358310823698327e-01,-1.017054861545449006e-05,1.367187499999999986e-06,7.025358310823698327e-01,-9.492502496012574959e-06,6.835937499999999931e-07,7.025358310823698327e-01,-9.140815889544202726e-06,3.417968749999999965e-07,7.025358310823698327e-01,-8.962136301845090273e-06,1.708984374999999983e-07,7.025358310823698327e-01,-8.872130641339149258e-06,8.544921874999999913e-08,7.025358310823698327e-01,-8.826966856186192650e-06,4.272460937499999957e-08,7.025358310823698327e-01,-8.804345420343765506e-06,2.136230468749999978e-08,7.025358310823698327e-01,-8.793024903929233838e-06,1.068115234374999989e-08,7.025358310823698327e-01,-8.787362207037990855e-06
8.000000000000000383e-04,7.948935622678302559e-01,-9.312415669643886034e-07,4.000000000000000192e-04,7.948935622678302559e-01,-1.898214485630060394e-06,2.000000000000000096e-04,7.948935622678302559e-01,-3.878831527410906422e-06,1.000000000000000048e-04,7.948935622678302559e-01,-7.639324487136043082e-06,5.000000000000000240e-05,7.948935622678302559e-01,-1.272923670449323849e-05,2.500000000000000120e-05,7.948935622678302559e-01,-1.527046615484940590e-05,1.250000000000000060e-05,7.948935622678302559e-01,-1.418385943738806728e-05,6.250000000000000300e-06,7.948935622678302559e-01,-1.244466534062192515e-05,3.125000000000000150e-06,7.948935622678302559e-01,-1.127265146280581461e-05,1.562500000000000075e-06,7.948935622678302559e-01,-1.062241171594919653e-05,7.812500000000000374e-07,7.948935622678302559e-01,-1.028342800986579636e-05,3.906250000000000187e-07,7.948935622678302559e-01,-1.011078543221755567e-05,1.953125000000000094e-07,7.948935622678302559e-01,-1.002371805452835703e-05,9.765625000000000468e-08,7.948935622678302559e-01,-9.980003165826312506e-06,4.882812500000000234e-08,7.948935622678302559e-01,-9.958101094068968332e-06,2.441406250000000117e-08,7.948935622678302559e-01,-9.947138985848168272e-06,1.220703125000000058e-08,7.948935622678302559e-01,-9.941655174242964899e-06
9.000000000000000838e-04,8.841142117153444335e-01,-9.009826590220260552e-07,4.500000000000000419e-04,8.841142117153444335e-01,-1.843730073732585832e-06,2.250000000000000209e-04,8.841142117153444335e-01,-3.794704961415592013e-06,1.125000000000000105e-04,8.841142117153444335e-01,-7.566255684693467202e-06,5.625000000000000524e-05,8.841142117153444335e-01,-1.284516593194026972e-05,2.812500000000000262e-05,8.841142117153444335e-01,-1.577908807838419847e-05,1.406250000000000131e-05,8.841142117153444335e-01,-1.501388944657564315e-05,7.031250000000000655e-06,8.841142117153444335e-01,-1.343352352798406648e-05,3.515625000000000327e-06,8.841142117153444335e-01,-1.233026630481802978e-05,1.757812500000000164e-06,8.841142117153444335e-01,-1.171039912976125588e-05,8.789062500000000818e-07,8.841142117153444335e-01,-1.138545613788383071e-05,4.394531250000000409e-07,8.841142117153444335e-01,-1.121953191166753410e-05,2.197265625000000205e-07,8.841142117153444335e-01,-1.113574643195753129e-05,1.098632812500000102e-07,8.841142117153444335e-01,-1.109365296240067160e-05,5.493164062500000511e-08,8.841142117153444335e-01,-1.107255669219951491e-05,2.746582031250000256e-08,8.841142117153444335e-01,-1.106199625460549927e-05,1.373291015625000128e-08,8.841142117153444335e-01,-1.105671297038540824e-05
